EmployeeID,DateOfHire,DateOfBirth,Age ,Age Group,Gender,Salary Category,Department,Experience Level,JobTitle,Employment Status,SupervisorID,SupervisorName,SupervisorLevel,ProjectsAssigned,ProjectsCompleted,PerformanceRating,Salary,Bonus,YearsAtCompany,YearsInCurrentRole,TrainingHours,OvertimeHours,Absences,HireSource,EmployeeEngagementScore,TerminationDate,ReasonForLeaving,LastPromotionDate,SeniorLeader,TeamSize,PromotionCount,WorkFromHomeDays,PerformanceImprovementPlan,YearsSinceLastTraining,JobSatisfactionScore,RetentionRisk,DiversityCategory,SkillsAssessmentScore,RecruitmentCost,TimeToFillPosition,InternalPromotion,WorkHoursPerWeek,StressLevelScore
589,25-11-2017,13-03-1975,51,Senior,Non-Binary,Medium,HR,Senior,Hospital doctor,On Leave,928,John Williamson,Director,8,1,1,35250.08,9655.29,8,8,78,40,2,Job Board,1.47,Active Employee,Still Working ,No Promotion ,Thomas G,44,4,5,Yes,5,4.51,High,Non-Diverse,79.73,2326.36,30,No,43,3.54
590,18-12-2020,01-10-1969,56,Senior,Female,Medium,Sales,Fresher,Petroleum engineer,On Leave,711,John Garcia,VP,0,11,1,57946.14,1010.21,0,10,45,44,17,Job Board,4.04,Active Employee,Still Working ,No Promotion ,Patrick,44,2,20,Yes,3,3.27,High,Diverse,67.02,6514.24,45,No,49,6.69
591,21-10-2022,06-05-1976,50,Senior,Female,Medium,HR,Senior,Civil Service administrator,Active,472,Dakota Hernandez,Manager,11,17,5,68195.44,10812.9,10,10,22,38,17,Walk-in,3.79,Active Employee,Still Working ,20-06-2023,Thomas G,15,5,19,Yes,5,4.11,High,Non-Diverse,54.02,6936.02,11,No,31,3.62
592,14-11-2023,12-05-1980,46,Senior,Male,High,Sales,Senior,Petroleum engineer,Terminated,703,Brianna Hodge,VP,3,12,2,97054.42,2819.57,8,10,41,9,15,Job Board,1.82,09-05-2024,Layoff,28-12-2024,Arun S,30,4,5,No,3,3.94,Low,Diverse,74.41,2045.78,17,No,41,7.32
593,13-04-2022,10-10-1984,41,Mid Age,Male,High,Finance,Mid Level,Dance movement psychotherapist,On Leave,171,Michael Robertson PhD,Director,14,13,4,76953.97,7865.91,5,4,90,7,8,Walk-in,2.4,Active Employee,Still Working ,20-09-2023,Arun S,50,3,4,No,1,4.51,High,Non-Diverse,77.66,6259.61,32,No,38,5.67
594,31-12-2021,28-01-1990,36,Mid Age,Non-Binary,Medium,Marketing,Fresher,Site engineer,On Leave,808,Rodney Reed,Manager,9,11,3,68516.67,15493.95,0,0,84,2,16,Referral,3.66,Active Employee,Still Working ,04-08-2023,Thomas G,8,3,2,No,3,1.34,Low,Diverse,99.55,7436.61,55,Yes,58,4.58
595,07-04-2015,08-12-1971,54,Senior,Non-Binary,High,IT,Fresher,Customer service manager,Terminated,295,Marcus Cox,Director,16,1,1,79488.3,9960.35,0,5,64,3,16,Referral,1.26,11-09-2019,None,21-10-2024,Patrick,16,5,12,Yes,5,4.9,Low,Non-Diverse,73.97,8869.8,32,No,52,7.56
596,02-12-2018,22-04-1982,44,Mid Age,Female,Medium,Marketing,Fresher,Meteorologist,Terminated,83,Nicholas Cook,VP,6,17,1,56900.16,14462.37,0,8,35,22,19,Recruiter,2.75,15-04-2021,Layoff,No Promotion ,Thomas G,38,5,16,No,2,2.9,High,Non-Diverse,65.94,9096.72,29,No,32,3.33
597,26-08-2016,09-07-1994,31,Mid Age,Female,High,IT,Mid Level,Financial adviser,On Leave,742,Jesse Johnson,VP,4,19,2,91689.05,12553.18,4,4,89,37,1,Job Board,4.56,Active Employee,Still Working ,13-03-2019,Patrick,26,3,2,Yes,1,2.51,High,Non-Diverse,93.99,1019.78,37,No,59,7.47
598,24-08-2018,24-07-1975,50,Senior,Male,Medium,Sales,Senior,Textile designer,Active,233,Tony Reyes,Director,16,15,4,65242.71,2986.97,6,3,85,20,17,Recruiter,4.12,Active Employee,Still Working ,18-12-2022,Thomas G,32,0,17,No,1,2.43,Low,Non-Diverse,69.8,5422.17,12,Yes,60,5.8
599,19-11-2022,09-03-1987,39,Mid Age,Male,High,IT,Mid Level,"Engineer, control and instrumentation",Active,253,Michelle Norris,VP,18,5,2,106148.57,19931.15,3,6,26,8,4,Recruiter,3.6,Active Employee,Still Working ,No Promotion ,Arun S,10,5,13,No,2,2.3,Medium,Non-Diverse,85.58,5901.13,27,No,37,3.86
600,20-04-2019,12-05-1972,54,Senior,Non-Binary,Medium,Sales,Senior,Health service manager,On Leave,725,Meagan Foster,Manager,10,19,5,38396.68,2356.27,7,10,80,48,12,Referral,4.43,Active Employee,Still Working ,No Promotion ,Arun S,49,1,19,No,2,4.97,High,Diverse,50.19,1408.14,28,Yes,58,4.91
601,19-09-2024,18-11-1971,54,Senior,Non-Binary,High,Finance,Mid Level,Museum/gallery curator,Active,986,Ronald Sandoval,Director,3,14,1,108509.44,8845.83,3,10,43,45,6,Recruiter,3.26,Active Employee,Still Working ,No Promotion ,Patrick,22,0,15,Yes,4,2.77,Low,Non-Diverse,83.83,9127.81,27,Yes,47,7.74
602,01-05-2017,01-07-1959,66,Senior,Male,High,Finance,Fresher,Location manager,Active,401,Bryan Zimmerman,VP,5,12,2,117425.23,864.75,1,10,66,0,12,Referral,1.84,Active Employee,Still Working ,26-12-2018,Thomas G,48,1,5,No,2,1.26,Medium,Diverse,80.28,8400.18,44,No,34,2.57
603,13-05-2020,25-10-1983,42,Mid Age,Female,High,IT,Fresher,"Journalist, broadcasting",Terminated,544,Jonathan Carpenter,VP,10,14,1,81730.19,12336.8,0,7,92,36,9,Referral,3.23,31-08-2022,Layoff,21-10-2024,Thomas G,50,1,20,Yes,4,3.16,High,Diverse,97.2,3225.37,26,Yes,42,2.5
604,11-03-2024,25-08-2002,23,Young,Female,High,Sales,Senior,"Engineer, maintenance",On Leave,269,Rachel Bell,Manager,6,12,4,80344.11,9835.2,8,3,56,42,8,Job Board,3.96,Active Employee,Still Working ,No Promotion ,Patrick,41,5,15,Yes,4,2.56,High,Diverse,68.26,7545.67,22,Yes,47,5.05
605,16-01-2024,25-10-2002,23,Young,Male,Medium,Finance,Fresher,Occupational therapist,On Leave,317,Mindy Moody,Manager,18,8,3,52841.54,11987,1,0,57,3,8,Referral,2.01,Active Employee,Still Working ,No Promotion ,Thomas G,17,3,5,No,0,2.26,Medium,Non-Diverse,70.44,2568.42,43,Yes,42,7.45
606,22-08-2019,20-09-1965,60,Senior,Male,High,IT,Senior,Musician,Terminated,918,Brenda Martinez,Manager,3,3,5,74320.68,10175.49,9,10,81,13,1,Recruiter,2.36,02-05-2022,Retirement,15-12-2024,Arun S,35,4,20,Yes,0,1,Medium,Non-Diverse,61.59,6045.24,21,No,33,9.71
607,05-06-2016,21-01-2000,26,Young,Non-Binary,Medium,Finance,Senior,"Conservator, museum/gallery",On Leave,538,Diana Phillips,VP,15,4,3,33556.62,19623.29,8,1,8,48,18,Referral,1.23,Active Employee,Still Working ,18-05-2020,Patrick,22,2,17,No,3,2,Low,Diverse,77.02,6611.67,16,Yes,42,5.33
608,25-07-2020,28-04-1999,27,Young,Male,High,Marketing,Senior,"Engineer, chemical",Terminated,966,Mr. Timothy Robinson,Manager,8,17,1,76725.64,19668.85,7,9,80,26,2,Recruiter,3.45,07-02-2021,Layoff,05-10-2024,Thomas G,32,0,5,Yes,1,3.47,Medium,Non-Diverse,69.7,2348.83,58,No,34,4.67
609,01-09-2015,14-05-2005,21,Young,Non-Binary,Medium,Marketing,Fresher,Materials engineer,Active,663,Anthony Raymond,Manager,14,15,5,59235.55,11457.39,2,1,84,25,2,Walk-in,4.28,Active Employee,Still Working ,31-03-2018,Arun S,37,3,10,No,2,4.56,Low,Non-Diverse,77.3,5154.57,47,No,55,9.5
610,07-12-2021,03-02-1968,58,Senior,Female,High,Marketing,Mid Level,Chief of Staff,Active,410,Regina Smith,Director,19,3,2,87801.26,5584.03,3,0,63,31,5,Job Board,2.08,Active Employee,Still Working ,No Promotion ,Patrick,38,3,7,Yes,2,4.55,Low,Diverse,78.97,9052.09,14,Yes,35,2.41
611,11-03-2017,04-11-1967,58,Senior,Male,High,Marketing,Fresher,Games developer,Active,60,Mark Mcdowell,Director,9,13,2,79398.88,14617.99,2,7,21,18,2,Walk-in,1.5,Active Employee,Still Working ,05-09-2019,Patrick,7,2,12,No,3,4.25,High,Non-Diverse,61.68,9125.35,47,No,54,7.66
612,20-11-2015,05-09-1972,53,Senior,Non-Binary,High,IT,Fresher,"Buyer, retail",On Leave,115,David Watson,VP,4,5,3,79402.14,14470.14,1,1,93,8,2,Job Board,4.68,Active Employee,Still Working ,10-08-2019,Patrick,44,0,0,Yes,0,3.19,High,Non-Diverse,64.08,6339.5,53,Yes,37,1.27
613,11-02-2024,30-09-1999,26,Young,Non-Binary,Medium,Finance,Fresher,Museum/gallery conservator,Terminated,204,Jessica Booker,Director,3,0,4,55406.73,8607.58,1,1,70,17,18,Walk-in,2.98,18-02-2024,Layoff,22-07-2024,Arun S,19,1,1,No,3,3.14,High,Non-Diverse,66.62,7522.99,35,No,51,1.83
614,18-10-2023,11-07-1985,40,Mid Age,Female,Medium,Finance,Fresher,Production engineer,Active,825,Shirley Campbell,Manager,4,0,3,37700.83,8605.03,0,9,74,35,2,Recruiter,2.22,Active Employee,Still Working ,No Promotion ,Arun S,27,4,5,No,0,2.14,Medium,Diverse,98.66,4976.85,19,No,54,5.2
615,21-04-2023,29-08-1973,52,Senior,Non-Binary,Medium,Marketing,Senior,Brewing technologist,Active,511,Eric Krause,VP,11,3,3,64925.58,15040.95,10,1,29,42,1,Job Board,3.76,Active Employee,Still Working ,22-11-2023,Arun S,29,3,12,No,4,3.93,Low,Non-Diverse,67.08,5789.17,25,Yes,46,3.42
616,22-02-2015,27-04-1994,32,Mid Age,Male,Medium,IT,Senior,"Physicist, medical",Active,138,Greg Jacobson,Manager,15,1,1,30270.61,2647.04,7,6,64,21,20,Job Board,1.59,Active Employee,Still Working ,No Promotion ,Patrick,11,3,13,No,5,3.45,High,Diverse,73.88,3321.91,19,No,56,1.39
617,11-12-2022,25-12-1987,38,Mid Age,Non-Binary,Medium,IT,Mid Level,"Editor, commissioning",Active,843,Ana Lopez,Manager,17,19,4,40376.34,7880.63,4,8,64,49,12,Referral,3.76,Active Employee,Still Working ,No Promotion ,Patrick,22,1,4,Yes,2,2.18,Low,Non-Diverse,52.55,5484.15,11,No,47,4.02
618,07-12-2016,23-02-1981,45,Senior,Female,Medium,Sales,Fresher,"Editor, film/video",Terminated,749,Shannon Valdez,Director,16,1,1,66403.79,9211.49,0,4,54,7,19,Recruiter,1.31,02-07-2022,Layoff,No Promotion ,Patrick,35,2,6,No,3,1.2,High,Non-Diverse,94.96,7634.56,13,Yes,48,6.66
619,15-02-2021,06-11-1967,58,Senior,Male,High,Finance,Senior,Merchant navy officer,Active,258,Kylie Zimmerman,VP,7,1,3,117940.61,6437.05,8,9,99,41,18,Referral,1.12,Active Employee,Still Working ,20-07-2024,Arun S,7,4,0,No,1,1.18,Medium,Non-Diverse,87.51,2144.72,12,Yes,38,5.89
620,15-06-2015,29-07-1968,57,Senior,Non-Binary,High,Sales,Mid Level,Marketing executive,Terminated,687,Richard Howard,Manager,10,15,4,106417.12,12596.57,3,1,15,26,7,Job Board,1.46,21-07-2019,None,22-01-2023,Arun S,42,3,17,No,3,4.41,Medium,Non-Diverse,97.1,8741.69,8,No,37,7.11
621,26-02-2015,13-05-1996,30,Mid Age,Non-Binary,High,Sales,Mid Level,"Education officer, environmental",Terminated,432,Alexander Valdez,Director,8,1,3,119322.28,12852.83,4,0,79,6,16,Recruiter,1.38,05-10-2018,Layoff,25-11-2017,Thomas G,45,4,10,Yes,3,2.77,Low,Diverse,52.42,8353.67,37,No,31,7.97
622,24-07-2016,17-05-1964,62,Senior,Male,Medium,Sales,Mid Level,Customer service manager,On Leave,496,Rachel Brooks MD,Manager,11,17,5,55680.82,2873.55,5,10,67,0,17,Referral,4.51,Active Employee,Still Working ,No Promotion ,Thomas G,26,1,20,No,0,2.02,Medium,Diverse,68.9,8331.32,17,Yes,53,3.12
623,18-09-2021,21-06-1990,35,Mid Age,Male,High,Finance,Mid Level,Clinical psychologist,On Leave,835,Taylor Freeman,Director,12,17,1,107022.13,5851.22,5,4,86,2,8,Referral,4.37,Active Employee,Still Working ,29-11-2021,Patrick,29,5,8,Yes,5,3.98,Low,Non-Diverse,73.67,4684.87,21,Yes,42,9.38
624,02-08-2015,13-11-1972,53,Senior,Female,High,Finance,Senior,Barista,Terminated,805,Sarah Lopez,Manager,13,0,2,111835.23,9452.28,7,9,87,27,3,Referral,4.53,19-04-2017,Retirement,26-04-2017,Patrick,24,1,8,Yes,1,3.29,Medium,Diverse,71.45,1091.77,50,Yes,51,5.19
625,02-04-2021,08-03-1981,45,Senior,Male,High,IT,Fresher,Tree surgeon,On Leave,875,Crystal Lee,Manager,13,19,2,119992.14,16431.3,1,10,77,40,15,Recruiter,2.03,Active Employee,Still Working ,19-07-2024,Patrick,13,0,7,Yes,4,4.21,Low,Diverse,85.81,8666.29,39,No,51,8.55
626,29-11-2017,03-10-1977,48,Senior,Male,High,Marketing,Senior,"Solicitor, Scotland",On Leave,831,Jacqueline Moses,Manager,4,9,5,102569.62,5378.52,7,5,6,46,5,Referral,4.18,Active Employee,Still Working ,06-07-2018,Thomas G,10,1,11,No,5,3.06,High,Diverse,83.54,3947.59,26,Yes,47,7.87
627,25-01-2016,13-03-1961,65,Senior,Female,Medium,IT,Senior,Learning disability nurse,Active,66,Nancy Thornton,Manager,1,12,3,60392.19,4736.75,6,8,65,19,9,Walk-in,1.3,Active Employee,Still Working ,No Promotion ,Thomas G,12,0,9,No,2,4.24,Low,Non-Diverse,70.86,1033.53,34,Yes,49,5.12
628,12-03-2020,07-07-1978,47,Senior,Female,High,IT,Mid Level,Logistics and distribution manager,On Leave,156,Andrew Jenkins,VP,18,20,5,72920.78,14321.61,4,2,69,35,19,Recruiter,1.45,Active Employee,Still Working ,No Promotion ,Patrick,19,1,16,No,5,1.46,High,Diverse,99.93,5486.93,53,Yes,56,6.8
629,10-03-2016,14-03-1978,48,Senior,Female,High,Marketing,Senior,"Conservator, museum/gallery",Active,768,Robert Williamson,Manager,13,10,5,78075.48,12606.86,7,8,64,9,1,Referral,1.16,Active Employee,Still Working ,No Promotion ,Thomas G,9,5,3,No,3,2.91,Medium,Diverse,96.77,9587.18,11,No,57,4.09
630,01-05-2019,14-09-1965,60,Senior,Male,Medium,Sales,Mid Level,"Doctor, hospital",Terminated,716,Ashley Roman,Manager,8,5,3,54848.37,6645.13,3,8,63,27,8,Job Board,4.79,10-03-2020,Retirement,23-03-2022,Arun S,47,5,17,Yes,3,3.19,Medium,Non-Diverse,96.39,8190.56,47,Yes,48,5.24
631,22-09-2024,27-08-1964,61,Senior,Male,High,IT,Senior,Veterinary surgeon,Terminated,498,Carla Henderson,Manager,16,14,4,101362.22,7349.37,6,8,20,6,6,Job Board,1.47,27-12-2024,Retirement,10-12-2024,Thomas G,11,1,6,Yes,0,4.43,High,Non-Diverse,99.1,2146.57,39,Yes,59,3.76
632,27-09-2020,18-02-1965,61,Senior,Male,Medium,IT,Senior,Armed forces operational officer,Active,232,Kathleen Taylor,VP,19,0,3,68016.19,9846.7,10,2,12,2,13,Job Board,1.57,Active Employee,Still Working ,09-11-2024,Patrick,26,2,2,Yes,4,1.62,Medium,Non-Diverse,74.98,4484.57,26,Yes,49,8.53
633,01-09-2023,20-08-1990,35,Mid Age,Non-Binary,High,Sales,Fresher,"Psychologist, prison and probation services",On Leave,340,Bruce Andrews,Director,8,13,2,81202.8,4892.27,1,0,54,40,18,Walk-in,3.79,Active Employee,Still Working ,No Promotion ,Thomas G,25,5,11,No,3,3.15,Medium,Non-Diverse,81.98,6661.22,37,Yes,49,6.42
634,22-05-2022,25-03-1999,27,Young,Male,Medium,IT,Mid Level,"Producer, radio",Active,989,Wesley Pacheco,Director,1,13,2,67584.69,17803.11,5,8,86,0,16,Walk-in,2.9,Active Employee,Still Working ,20-06-2023,Patrick,17,1,15,No,2,2.34,Medium,Diverse,93.74,9104.06,55,Yes,44,2.55
635,20-03-2020,21-10-1981,44,Mid Age,Female,Medium,Finance,Fresher,Physiotherapist,Terminated,539,Jacob Ray,VP,16,18,3,42473.05,4193.81,0,8,51,40,9,Recruiter,1.07,07-12-2023,Resignation,10-02-2023,Arun S,5,1,13,Yes,2,2.5,Low,Diverse,69.37,8496.1,18,No,55,4.41
636,12-08-2021,12-11-1980,45,Senior,Male,High,HR,Mid Level,Special educational needs teacher,Active,373,Jennifer Weaver,Manager,9,17,5,118336.5,6988.15,5,5,34,18,15,Job Board,1.78,Active Employee,Still Working ,13-03-2023,Thomas G,50,2,15,Yes,3,2.51,Medium,Non-Diverse,74.22,5952.5,9,No,51,7.31
637,12-05-2018,24-11-1969,56,Senior,Male,High,HR,Mid Level,Toxicologist,Terminated,925,Melissa Swanson,Director,0,8,5,96282.39,5913.23,4,10,17,2,16,Recruiter,3.92,09-11-2022,Retirement,No Promotion ,Patrick,23,1,14,No,2,1.3,Medium,Diverse,71.16,1793.3,11,Yes,51,5.96
638,11-09-2017,07-06-1967,58,Senior,Male,High,Finance,Fresher,"Loss adjuster, chartered",Active,139,Shannon Johnson,Manager,7,16,2,108723.89,8582,1,0,47,2,14,Job Board,3.38,Active Employee,Still Working ,11-06-2023,Arun S,11,4,18,No,3,3.71,High,Diverse,56.83,2232.07,55,Yes,34,5.54
639,02-07-2015,24-06-1997,28,Young,Male,High,HR,Mid Level,Probation officer,Terminated,224,Wesley Garrett,Manager,2,0,5,109115,15174.18,5,5,28,8,14,Walk-in,2.85,21-01-2021,Layoff,No Promotion ,Thomas G,50,1,1,No,0,3.25,Medium,Diverse,99.83,5264.57,15,No,50,2.17
640,02-05-2024,05-11-1971,54,Senior,Female,Medium,HR,Senior,Research scientist (physical sciences),On Leave,38,Molly Graham,VP,20,6,5,41945.68,13747.77,6,8,39,49,15,Referral,1.22,Active Employee,Still Working ,No Promotion ,Patrick,25,3,13,Yes,5,1.01,Medium,Non-Diverse,83.18,8695.89,59,Yes,52,4.81
641,19-04-2015,05-12-1974,51,Senior,Male,High,Sales,Senior,Chief Financial Officer,Terminated,132,Karen Cardenas,Manager,1,18,5,93528.25,19820.92,6,0,1,44,4,Walk-in,2.2,15-08-2023,Layoff,10-08-2018,Patrick,33,2,4,No,1,2.28,Low,Diverse,87.72,7246.01,54,Yes,56,8.74
642,31-07-2018,14-05-1965,61,Senior,Non-Binary,High,IT,Senior,Chartered loss adjuster,Terminated,558,Olivia Miller,VP,20,2,2,83411.13,19734.38,8,3,0,28,20,Referral,4.96,14-10-2019,Retirement,18-05-2020,Arun S,45,4,9,No,0,3.55,Low,Diverse,57.47,1269.8,60,No,43,2.96
643,14-12-2024,15-02-1964,62,Senior,Non-Binary,High,HR,Senior,Marine scientist,On Leave,747,Joseph Brown,Director,9,17,5,98544.02,9827.88,9,7,100,34,1,Referral,3.22,Active Employee,Still Working ,21-12-2024,Patrick,7,2,17,No,2,4.75,High,Diverse,93.41,1209.73,47,No,58,7.98
644,01-08-2018,30-09-1993,32,Mid Age,Male,High,IT,Senior,Historic buildings inspector/conservation officer,Active,97,William Krause,Manager,2,16,4,75662.8,15999.18,8,1,89,40,13,Recruiter,2.72,Active Employee,Still Working ,01-09-2022,Patrick,30,0,8,Yes,2,1.01,Low,Diverse,69.13,9697.91,28,Yes,53,2.73
645,07-02-2016,29-11-1990,35,Mid Age,Female,High,HR,Senior,Chief Technology Officer,Terminated,522,Anthony Hoover,Manager,19,5,3,96457.52,14394.91,10,6,1,38,3,Recruiter,4.55,28-01-2021,None,14-11-2018,Thomas G,8,0,10,No,3,3.25,High,Diverse,69.16,3262.01,32,Yes,56,9.43
646,04-06-2022,23-05-1963,63,Senior,Non-Binary,Medium,IT,Fresher,"Designer, jewellery",On Leave,855,Tiffany Richards,Manager,16,2,3,59257.13,5857.41,1,2,15,24,1,Recruiter,1.26,Active Employee,Still Working ,06-12-2022,Patrick,16,2,12,No,1,1.8,Medium,Diverse,76.45,6872.77,21,Yes,47,9.64
647,23-11-2024,03-03-1959,67,Senior,Male,Medium,Sales,Senior,Investment analyst,Active,255,Jordan Patel,VP,4,16,4,40111.29,4584.61,9,6,87,46,12,Recruiter,1.43,Active Employee,Still Working ,30-01-2025,Patrick,31,2,17,Yes,0,1.38,Medium,Non-Diverse,87.23,7865.3,34,Yes,51,5.81
648,19-08-2018,28-09-1972,53,Senior,Female,Medium,Sales,Fresher,Licensed conveyancer,On Leave,860,Tracy Edwards,VP,7,14,4,42782.01,18528.99,2,4,87,45,17,Job Board,2.09,Active Employee,Still Working ,No Promotion ,Thomas G,12,3,3,Yes,2,3.88,Low,Non-Diverse,82.15,2151.34,19,No,56,5.6
649,10-03-2017,18-03-2005,21,Young,Non-Binary,Medium,Marketing,Fresher,Educational psychologist,On Leave,801,Savannah Jenkins,Director,16,6,1,62399.29,2149.19,2,0,29,5,6,Recruiter,4.91,Active Employee,Still Working ,No Promotion ,Arun S,46,4,18,Yes,5,4.57,Low,Diverse,85.78,6626.86,43,Yes,49,4.57
650,05-09-2018,26-12-2006,19,Young,Male,High,Sales,Fresher,Broadcast engineer,Terminated,835,Joshua Khan,VP,16,0,4,83245.4,2449.82,0,2,44,19,11,Referral,2.19,27-11-2019,None,No Promotion ,Patrick,13,3,1,Yes,4,3.08,High,Diverse,90.05,1166.8,24,No,49,6.34
651,04-03-2018,05-08-1995,30,Mid Age,Male,High,Finance,Senior,Technical brewer,Terminated,485,Jasmine Pham,Director,19,11,2,96175.28,15182.17,10,3,46,12,16,Recruiter,2.92,31-03-2021,Layoff,No Promotion ,Patrick,49,0,5,Yes,4,2.75,Low,Diverse,89.66,1984.46,21,No,38,7.6
652,26-08-2017,09-08-1999,26,Young,Male,Medium,HR,Mid Level,Waste management officer,On Leave,36,Ashley Moreno,Manager,0,0,4,40448.99,8355.13,5,6,18,13,4,Recruiter,3.99,Active Employee,Still Working ,No Promotion ,Thomas G,21,1,10,Yes,3,2.74,Low,Non-Diverse,67.23,3563.83,7,No,40,7.77
653,17-05-2019,17-02-1994,32,Mid Age,Non-Binary,High,IT,Fresher,Industrial buyer,Active,202,Julian Davis,VP,18,5,5,116217.92,9018.88,0,6,12,8,19,Job Board,4.78,Active Employee,Still Working ,02-08-2023,Patrick,43,3,12,No,2,3.04,Low,Diverse,74.17,2973.75,37,Yes,45,8.12
654,09-12-2019,08-01-1960,66,Senior,Male,High,Finance,Senior,Aid worker,On Leave,910,Christopher Frank,VP,14,0,4,105739.26,1067.8,10,9,66,32,0,Referral,2.35,Active Employee,Still Working ,03-04-2024,Arun S,41,5,9,Yes,4,3.42,Medium,Diverse,69.2,3669.53,46,Yes,35,6.75
655,21-04-2015,12-07-1987,38,Mid Age,Non-Binary,Medium,HR,Fresher,Transport planner,Active,482,Amy Martin,Manager,0,11,3,36003.22,16514,0,0,69,33,1,Job Board,4.72,Active Employee,Still Working ,No Promotion ,Arun S,27,3,20,Yes,1,4.73,High,Non-Diverse,67.79,4954.82,23,Yes,51,8.78
656,13-04-2015,10-12-1981,44,Mid Age,Non-Binary,Medium,Sales,Senior,Lexicographer,Terminated,298,Amanda Simpson,Manager,0,14,2,30840.31,9657.13,7,9,11,45,17,Job Board,2.2,17-04-2023,Resignation,09-04-2018,Arun S,33,3,8,Yes,2,1.27,High,Non-Diverse,85.6,1673.78,52,Yes,57,6.6
657,07-04-2016,09-08-1960,65,Senior,Female,High,Sales,Mid Level,Osteopath,Terminated,515,Mark Smith,Director,1,18,4,89535.99,15708.65,3,9,54,33,11,Referral,2.12,21-02-2024,None,13-04-2018,Thomas G,38,1,7,No,4,3.96,Low,Diverse,65.74,8856.77,15,Yes,58,9.88
658,09-03-2020,10-05-1971,55,Senior,Male,Medium,Finance,Senior,Health promotion specialist,Terminated,1000,Kristina Marshall,Manager,7,6,2,30869.76,17696.94,10,1,75,13,7,Referral,1.67,13-12-2022,Resignation,No Promotion ,Thomas G,35,2,13,No,0,3.4,Medium,Non-Diverse,67.99,5624.14,15,Yes,30,4
659,20-11-2017,22-09-1960,65,Senior,Non-Binary,Medium,IT,Senior,Land/geomatics surveyor,Terminated,782,Lucas Ramirez,Director,3,17,3,44016.23,18733.24,7,6,25,2,18,Recruiter,3.49,20-05-2023,None,28-05-2022,Thomas G,23,0,2,No,1,2.89,High,Diverse,95.87,2151.65,28,Yes,60,9.02
660,30-05-2021,26-03-1979,47,Senior,Male,High,Finance,Senior,Community education officer,Active,535,Lawrence Douglas,VP,0,17,3,99005.97,11236.04,7,7,24,37,17,Job Board,4.74,Active Employee,Still Working ,24-08-2023,Arun S,22,0,19,Yes,2,2.23,High,Non-Diverse,57.08,8098.13,27,No,48,6.89
661,26-12-2022,10-07-1992,33,Mid Age,Male,Medium,HR,Fresher,Educational psychologist,Terminated,192,Christopher Joseph,Manager,7,14,3,48890.15,9540.31,2,8,30,40,11,Referral,2.32,11-02-2024,Layoff,No Promotion ,Arun S,20,2,10,No,2,2.3,High,Non-Diverse,86.04,6744.93,24,No,50,2.87
662,18-04-2022,01-06-1985,40,Mid Age,Male,High,IT,Fresher,"Secretary, company",On Leave,659,Mikayla Crawford,Director,1,8,4,79365.43,1308.28,0,9,41,21,14,Job Board,4.06,Active Employee,Still Working ,No Promotion ,Arun S,11,0,12,No,2,3.37,High,Diverse,98.28,8718.69,16,No,43,8.22
663,15-04-2016,27-08-1975,50,Senior,Male,High,HR,Senior,Theatre manager,Active,40,Carmen Dixon,VP,5,12,5,95795.23,18292.55,7,2,17,34,16,Referral,4.91,Active Employee,Still Working ,No Promotion ,Patrick,31,4,6,No,1,3.65,Low,Non-Diverse,64.72,2575.33,46,No,53,2.48
664,07-02-2016,05-07-1966,59,Senior,Female,Medium,Sales,Mid Level,Herpetologist,Terminated,779,Roy Church,Manager,4,12,1,63340.11,16618.31,4,7,38,48,2,Referral,4.85,30-04-2016,Resignation,No Promotion ,Thomas G,20,5,9,Yes,1,2.04,Medium,Diverse,64.41,5759.62,36,No,44,8.65
665,23-04-2018,24-02-2004,22,Young,Female,High,Sales,Mid Level,Site engineer,Terminated,917,Oscar Baker,VP,7,15,2,70005.44,2835.39,3,0,50,41,16,Job Board,1.35,04-07-2020,Retirement,No Promotion ,Patrick,19,4,5,No,0,1.56,Medium,Non-Diverse,58.76,9680.1,8,Yes,40,2.75
666,14-03-2024,28-10-1979,46,Senior,Female,High,Sales,Mid Level,"Engineer, maintenance (IT)",On Leave,929,Justin Martinez,Director,8,14,5,97944.62,18099.95,5,7,49,40,3,Recruiter,2.63,Active Employee,Still Working ,No Promotion ,Thomas G,32,1,18,Yes,3,1.11,Medium,Non-Diverse,87.75,2702.73,5,Yes,42,6.89
667,16-10-2020,29-10-1974,51,Senior,Female,Medium,Sales,Mid Level,"Therapist, music",Terminated,496,Mr. Richard Mccoy,VP,0,17,5,47139.09,16562.62,5,8,50,41,20,Walk-in,1.12,18-06-2022,Layoff,21-04-2023,Patrick,16,5,15,No,4,2.1,High,Non-Diverse,57.23,1852.53,23,Yes,38,9.67
668,14-04-2018,07-12-1980,45,Senior,Non-Binary,High,IT,Mid Level,Higher education careers adviser,On Leave,464,Michael Mccullough,VP,11,13,3,98294.53,1483.66,5,4,93,30,6,Referral,2.02,Active Employee,Still Working ,No Promotion ,Thomas G,35,3,10,Yes,0,1.82,High,Non-Diverse,79.31,8653.73,27,Yes,53,3.79
